Staten Island Rolling Sales File.  All Sales From May 2015 - April 2016.,,,,,,,,,,,,,,,,,,,,
Sales File as of 4/30/2016  Co-op Sales Files as of 4/30/2016,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 5/1/2016, Descriptive Data is as of 5/1/2016",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5394,4, ,A2,26 FINGAL STREET                         ,            ,10312,1,0,1,13406,4180,1982,1,A2," $1,199,000 ",8/26/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5397,51, ,A1,23 EYLANDT STREET                        ,            ,10312,1,0,1,10120,3000,1985,1,A1," $955,000 ",12/18/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5401,5, ,A2,28 JANSEN STREET                         ,            ,10312,1,0,1,10800,2164,1980,1,A2, $-   ,12/1/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5401,33, ,A1,17 WEAVER STREET                         ,            ,10312,1,0,1,11000,3214,1980,1,A1," $915,000 ",1/15/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5402,43, ,A1,295 HAROLD AVENUE                        ,            ,10312,1,0,1,6700,3348,1980,1,A1, $-   ,7/27/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5404,46, ,A1,119 LENZIE STREET                        ,            ,10312,1,0,1,8000,3660,1998,1,A1, $-   ,9/16/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5405,47, ,A2,369 HAROLD AVENUE                        ,            ,10312,1,0,1,9800,1785,1980,1,A2, $-   ,1/11/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5406,36, ,A1,107 ELMBANK STREET                       ,            ,10312,1,0,1,2500,1200,1999,1,A1," $480,800 ",9/18/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5425,34, ,A6,11 SANDGAP STREET                        ,            ,10312,1,0,1,2500,448,1910,1,A6," $157,500 ",5/29/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5425,45, ,A1,37 SANDGAP STREET                        ,            ,10312,1,0,1,5000,1483,1910,1,A1," $365,000 ",12/15/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,14, ,A5,97 EAGAN AVENUE                          ,            ,10312,1,0,1,1845,1854,1986,1,A5," $383,000 ",11/18/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,29, ,A5,69 EAGAN AVENUE                          ,            ,10312,1,0,1,1546,1579,1986,1,A5, $-   ,12/14/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,34, ,A5,57 EAGAN AVENUE                          ,            ,10312,1,0,1,1546,1579,1986,1,A5, $-   ,8/27/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,55, ,A5,36 SEGUINE PLACE                         ,            ,10312,1,0,1,1471,1068,1986,1,A5," $315,000 ",12/21/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,79, ,A5,4 SEGUINE PLACE                          ,            ,10312,1,0,1,1755,1854,1986,1,A5," $379,000 ",5/29/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,145, ,A5,60 SEGUINE PLACE                         ,            ,10312,1,0,1,1471,1172,1986,1,A5," $325,000 ",8/20/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6209,69, ,A5,195 MOSELY AVENUE                        ,            ,10312,1,0,1,2665,1592,2007,1,A5, $-   ,9/22/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,28, ,A1,96 JEANNETTE AVENUE                      ,            ,10312,1,0,1,5400,2376,1970,1,A1," $595,000 ",12/8/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,33, ,A5,20 LUCY LOOP                             ,            ,10312,1,0,1,2320,1500,2000,1,A5," $465,000 ",5/14/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6214,14, ,A1,137 FABIAN STREET                        ,            ,10312,1,0,1,5000,2788,1982,1,A1," $750,000 ",1/22/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6214,33, ,A5,48 EAGAN AVENUE                          ,            ,10312,1,0,1,2400,1368,2000,1,A5," $490,000 ",1/6/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,9, ,A5,55 BARB STREET                           ,            ,10312,1,0,1,2575,1339,2004,1,A5," $490,000 ",2/24/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,13, ,A5,47 BARB STREET                           ,            ,10312,1,0,1,1585,1339,2004,1,A5," $450,000 ",2/12/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,54, ,A5,20 ENDVIEW STREET                        ,            ,10312,1,0,1,1648,1344,2003,1,A5," $275,000 ",3/1/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,72, ,A5,60 ENDVIEW STREET                        ,            ,10312,1,0,1,3605,1344,2003,1,A5," $480,000 ",11/4/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6222,20, ,A1,32 JEANNETTE AVENUE                      ,            ,10312,1,0,1,6000,1560,1935,1,A1, $-   ,11/19/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6226,15, ,A1,730 ANNADALE ROAD                        ,            ,10312,1,0,1,5200,1465,1930,1,A1," $455,000 ",7/1/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6232,29, ,A2,146 RATHBUN AVENUE                       ,            ,10312,1,0,1,3600,984,1960,1,A2," $510,000 ",5/21/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6232,72, ,A2,994 DRUMGOOLE ROAD WEST                  ,            ,10312,1,0,1,3600,984,1960,1,A2," $367,500 ",8/18/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6232,76, ,A1,1002 DRUMGOOLE ROAD WEST                 ,            ,10312,1,0,1,3400,1248,1970,1,A1," $410,000 ",12/31/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6234,27, ,A1,210 SHELDON AVENUE                       ,            ,10312,1,0,1,4000,2151,1920,1,A1," $145,000 ",11/24/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6235,53, ,A2,193 SHELDON AVENUE                       ,            ,10312,1,0,1,12000,1128,1945,1,A2," $550,000 ",1/29/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6235,53, ,A2,193 SHELDON AVENUE                       ,            ,10312,1,0,1,12000,1128,1945,1,A2," $250,000 ",7/24/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6239,83, ,A1,257 CROWN AVENUE                         ,            ,10312,1,0,1,9600,1728,1975,1,A1," $625,000 ",12/22/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6244,36, ,A2,102 BARCLAY AVENUE                       ,            ,10312,1,0,1,5000,925,1950,1,A2," $385,000 ",1/8/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6245,166, ,A1,62 HILLIS STREET                         ,            ,10312,1,0,1,4700,2560,1970,1,A1, $-   ,2/11/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6245,166, ,A1,62 HILLIS STREET                         ,            ,10312,1,0,1,4700,2560,1970,1,A1," $555,000 ",2/11/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6245,210, ,A2,64 PINE TERRACE                          ,            ,10312,1,0,1,6080,2156,1960,1,A2," $695,000 ",2/1/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6246,60, ,A1,5031 AMBOY ROAD                          ,            ,10312,1,0,1,9504,1572,1899,1,A1," $570,000 ",12/11/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,22, ,A3,64 TENAFLY PLACE                         ,            ,10312,1,0,1,6175,1580,2014,1,A3," $640,479 ",10/8/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,268, ,A2,145 NORTH PINE TERRACE                   ,            ,10312,1,0,1,7920,1912,1965,1,A2, $-   ,6/5/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,294, ,A2,952 ANNADALE ROAD                        ,            ,10312,1,0,1,4746,1794,1965,1,A2," $425,000 ",10/23/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,525, ,A5,6 EAST TENAFLY AVENUE                    ,            ,10312,1,0,1,2945,1302,1975,1,A5, $-   ,12/30/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6253,4, ,A1,170 SOUTH RAILROAD ST                    ,            ,10312,1,0,1,4167,2300,1990,1,A1," $590,000 ",5/26/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6254,51, ,A2,40 NORTH RAILROAD ST                     ,            ,10312,1,0,1,4000,2184,1970,1,A2, $-   ,5/8/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6254,60, ,A1,24 NORTH RAILROAD ST                     ,            ,10312,1,0,1,3840,1800,1991,1,A1," $570,000 ",10/7/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6259,14, ,A3,244 DETROIT AVENUE                       ,            ,10312,1,0,1,8000,2389,2014,1,A3," $768,778 ",5/27/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6261,19, ,A0,230 IONIA AVENUE                         ,            ,10312,1,0,1,8000,1600,1960,1,A0, $-   ,7/22/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6267,74, ,A5,327 SHELDON AVENUE                       ,            ,10312,1,0,1,2280,1390,2002,1,A5," $485,000 ",10/21/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6268,7, ,A2,282 STAFFORD AVENUE                      ,            ,10312,1,0,1,3800,1008,1970,1,A2," $540,000 ",10/16/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6268,66, ,A2,223 SINCLAIR AVENUE                      ,            ,10312,1,0,1,4200,1864,1965,1,A2," $537,000 ",11/20/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6276,42, ,A1,324 DETROIT AVENUE                       ,            ,10312,1,0,1,4000,1779,1984,1,A1, $-   ,6/10/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6276,44, ,A1,320 DETROIT AVENUE                       ,            ,10312,1,0,1,3000,1240,1984,1,A1, $-   ,6/10/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6277,51, ,A1,117 ALBEE AVENUE                         ,            ,10312,1,0,1,4440,2176,1986,1,A1," $630,000 ",9/2/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6278,1, ,A2,275 EDGEGROVE AVENUE                     ,            ,10312,1,0,1,4900,2558,1955,1,A2, $-   ,2/2/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6279,16, ,A2,215 SOUTH RAILROAD ST                    ,            ,10312,1,0,1,4080,2231,1985,1,A2, $-   ,9/23/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6279,156, ,A1,182 NORTH RAILROAD ST                    ,            ,10312,1,0,1,5600,2178,1975,1,A1," $587,500 ",9/22/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6279,164, ,A1,168 NORTH RAILROAD ST                    ,            ,10312,1,0,1,4000,2138,1973,1,A1," $470,000 ",5/1/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6281,28, ,A1,360 IONIA AVENUE                         ,            ,10312,1,0,1,3600,2100,1979,1,A1," $540,000 ",10/20/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6299,40, ,A2,73 RAMONA AVENUE                         ,            ,10312,1,0,1,4000,1968,1975,1,A2, $-   ,10/6/2015
